threshold,accuracy,balanced_accuracy,FPR,FNR,f1
0.0,0.971523591768863,0.5,1.0,0.0,0.9855561412756985
0.01,0.971523591768863,0.5,1.0,0.0,0.9855561412756985
0.02,0.9717314487632509,0.5036496350364964,0.9927007299270073,0.0,0.9856600590468156
0.03,0.9725628767408023,0.5182481751824818,0.9635036496350365,0.0,0.9860759493670886
0.04,0.9733943047183538,0.5328467153284672,0.9343065693430657,0.0,0.9864921907978049
0.05,0.9752650176678446,0.5656934306569343,0.8686131386861314,0.0,0.9874300200697158
0.06,0.9765121596341717,0.5875912408759124,0.8248175182481752,0.0,0.9880562308424057
0.07,0.9777593016004988,0.6094890510948905,0.781021897810219,0.0,0.9886832363828661
0.08,0.9787985865724381,0.6277372262773723,0.7445255474452555,0.0,0.9892063492063493
0.09,0.9792143005612138,0.635036496350365,0.7299270072992701,0.0,0.989415749364945
0.1,0.9798378715443775,0.6459854014598541,0.708029197080292,0.0,0.9897300158814187
0.11,0.9812928705050925,0.6715328467153285,0.656934306569343,0.0,0.9904640813731722
0.12,0.9821242984826439,0.6861313868613139,0.6277372262773723,0.0,0.990884036463854
0.13,0.9825400124714196,0.6934306569343066,0.6131386861313869,0.0,0.9910941475826972
0.14,0.9827478694658075,0.7006229522533413,0.5985401459854015,0.0002139495079161318,0.9911973698165235
0.15,0.9839950114321346,0.7225207624723193,0.5547445255474452,0.0002139495079161318,0.9918285047224875
0.16,0.985034296404074,0.7407689376548011,0.5182481751824818,0.0002139495079161318,0.9923550647695901
0.17,0.9862814383704012,0.7626667478737792,0.4744525547445255,0.0002139495079161318,0.9929876753081173
0.18,0.9871128663479526,0.7772652880197646,0.44525547445255476,0.0002139495079161318,0.9934098639455782
0.19,0.987944294325504,0.7954064884482883,0.40875912408759124,0.0004278990158322636,0.9938310997660071
0.2,0.9883600083142797,0.8027057585212809,0.39416058394160586,0.0004278990158322636,0.9940425531914893
0.21,0.9891914362918313,0.8208469589498046,0.35766423357664234,0.0006418485237483953,0.9944645518416011
0.22,0.9902307212637705,0.8390951341322863,0.32116788321167883,0.0006418485237483953,0.9949941420811588
0.23,0.9906464352525463,0.8499370644878174,0.29927007299270075,0.0008557980316645272,0.9952051145444859
0.24,0.9912700062357098,0.8644286298798447,0.27007299270072993,0.001069747539580659,0.9955223880597015
0.25,0.9916857202244855,0.8717278999528374,0.25547445255474455,0.001069747539580659,0.9957346982298999
0.26,0.9916857202244855,0.8752705602353756,0.24817518248175183,0.0012836970474967907,0.9957337883959044
0.27,0.9918935772188734,0.889548176119487,0.21897810218978103,0.0019255455712451862,0.9958373358949728
0.28,0.9918935772188734,0.8966334966845635,0.20437956204379562,0.0023534445870774497,0.995835557928457
0.29,0.9912700062357098,0.8963125724226892,0.20437956204379562,0.002995293110825845,0.9955137791070283
0.3,0.9912700062357098,0.8998552327052276,0.19708029197080293,0.003209242618741977,0.9955128205128205
0.31,0.9916857202244855,0.9071545027782202,0.18248175182481752,0.003209242618741977,0.9957255823893995
0.32,0.991062149241322,0.906833578516346,0.18248175182481752,0.0038510911424903724,0.9954035275253875
0.33,0.9914778632300977,0.9176755088718771,0.16058394160583941,0.0040650406504065045,0.9956154421986954
0.34,0.9912700062357098,0.9246538546829955,0.145985401459854,0.004706889174154899,0.995506098865825
0.35,0.9904385782581584,0.9277686159497016,0.1386861313868613,0.005776636713735558,0.9950749464668094
0.36,0.9900228642693827,0.9275546664417854,0.1386861313868613,0.006204535729567822,0.9948597130006426
0.37,0.989607150280607,0.9273407169338692,0.1386861313868613,0.006632434745400086,0.9946443873179092
0.38,0.9891914362918313,0.9306694277084915,0.13138686131386862,0.007274283269148481,0.9944277753964853
0.39,0.989607150280607,0.9415113580640224,0.10948905109489052,0.007488232777064612,0.994639794168096
0.4,0.9891914362918313,0.9448400688386446,0.10218978102189781,0.008130081300813009,0.9944229944229944
0.41,0.989607150280607,0.9521393389116373,0.08759124087591241,0.008130081300813009,0.9946363441321605
0.42,0.989607150280607,0.9556819991941756,0.08029197080291971,0.00834403080872914,0.9946351931330474
0.43,0.9885678653086676,0.9551471254243853,0.08029197080291971,0.009413778348309799,0.9940955448201824
0.44,0.9883600083142797,0.9621254712355037,0.06569343065693431,0.010055626872058195,0.9939849624060151
0.45,0.9877364373311162,0.9618045469736296,0.06569343065693431,0.01069747539580659,0.9936606855055335
0.46,0.9873207233423404,0.9615905974657134,0.06569343065693431,0.011125374411638854,0.9934443847393875
0.47,0.9871128663479526,0.9614836227117554,0.06569343065693431,0.011339323919554984,0.9933361994840928
