rev_id,auto_labeled,damaging,goodfaith,feature.english.badwords.revision.diff.match_delta_decrease,feature.english.badwords.revision.diff.match_delta_increase,feature.english.badwords.revision.diff.match_delta_sum,feature.english.badwords.revision.diff.match_prop_delta_decrease,feature.english.badwords.revision.diff.match_prop_delta_increase,feature.english.badwords.revision.diff.match_prop_delta_sum,feature.english.dictionary.revision.diff.dict_word_delta_decrease,feature.english.dictionary.revision.diff.dict_word_delta_increase,feature.english.dictionary.revision.diff.dict_word_delta_sum,feature.english.dictionary.revision.diff.dict_word_prop_delta_decrease,feature.english.dictionary.revision.diff.dict_word_prop_delta_increase,feature.english.dictionary.revision.diff.dict_word_prop_delta_sum,feature.english.dictionary.revision.diff.non_dict_word_delta_decrease,feature.english.dictionary.revision.diff.non_dict_word_delta_increase,feature.english.dictionary.revision.diff.non_dict_word_delta_sum,feature.english.dictionary.revision.diff.non_dict_word_prop_delta_decrease,feature.english.dictionary.revision.diff.non_dict_word_prop_delta_increase,feature.english.dictionary.revision.diff.non_dict_word_prop_delta_sum,feature.english.informals.revision.diff.match_delta_decrease,feature.english.informals.revision.diff.match_delta_increase,feature.english.informals.revision.diff.match_delta_sum,feature.english.informals.revision.diff.match_prop_delta_decrease,feature.english.informals.revision.diff.match_prop_delta_increase,feature.english.informals.revision.diff.match_prop_delta_sum,feature.len(<datasource.tokenized(datasource.revision.parent.text)>),feature.len(<datasource.tokenized(datasource.revision.text)>),feature.len(<datasource.wikitext.revision.markups>),feature.len(<datasource.wikitext.revision.parent.markups>),feature.len(<datasource.wikitext.revision.parent.uppercase_words>),feature.len(<datasource.wikitext.revision.parent.words>),feature.len(<datasource.wikitext.revision.words>),feature.revision.comment.has_link,feature.revision.comment.suggests_section_edit,feature.revision.diff.longest_new_repeated_char,feature.revision.diff.longest_new_token,feature.revision.page.is_articleish,feature.revision.page.is_draftspace,feature.revision.page.is_mainspace,feature.revision.user.has_advanced_rights,feature.revision.user.is_admin,feature.revision.user.is_bot,feature.revision.user.is_curator,feature.revision.user.is_patroller,feature.revision.user.is_trusted,feature.wikitext.revision.chars,feature.wikitext.revision.diff.markup_delta_decrease,feature.wikitext.revision.diff.markup_delta_increase,feature.wikitext.revision.diff.markup_delta_sum,feature.wikitext.revision.diff.markup_prop_delta_decrease,feature.wikitext.revision.diff.markup_prop_delta_increase,feature.wikitext.revision.diff.markup_prop_delta_sum,feature.wikitext.revision.diff.number_delta_decrease,feature.wikitext.revision.diff.number_delta_increase,feature.wikitext.revision.diff.number_delta_sum,feature.wikitext.revision.diff.number_prop_delta_decrease,feature.wikitext.revision.diff.number_prop_delta_increase,feature.wikitext.revision.diff.number_prop_delta_sum,feature.wikitext.revision.diff.uppercase_word_delta_decrease,feature.wikitext.revision.diff.uppercase_word_delta_increase,feature.wikitext.revision.diff.uppercase_word_delta_sum,feature.wikitext.revision.diff.uppercase_word_prop_delta_decrease,feature.wikitext.revision.diff.uppercase_word_prop_delta_increase,feature.wikitext.revision.diff.uppercase_word_prop_delta_sum,feature.wikitext.revision.external_links,feature.wikitext.revision.headings,feature.wikitext.revision.parent.chars,feature.wikitext.revision.parent.external_links,feature.wikitext.revision.parent.headings,feature.wikitext.revision.parent.ref_tags,feature.wikitext.revision.parent.tags,feature.wikitext.revision.parent.templates,feature.wikitext.revision.parent.wikilinks,feature.wikitext.revision.ref_tags,feature.wikitext.revision.tags,feature.wikitext.revision.templates,feature.wikitext.revision.wikilinks,user.type,sample_weight
609561180.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4456.0,4452.0,862.0,862.0,73.0,1057.0,1057.0,False,False,1.0,1.0,True,False,True,False,False,False,False,False,False,10544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10548.0,1.0,5.0,0.0,170.0,168.0,146.0,0.0,170.0,168.0,146.0,0,1
626997142.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.95,0.95,0.0,2.0,2.0,0.0,0.4761904761904762,0.4761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,8727.0,8757.0,600.0,596.0,38.0,3319.0,3328.0,False,True,1.0,1.0,True,False,True,False,False,False,False,False,False,28573.0,0.0,4.0,4.0,0.0,0.04028096991849657,0.04028096991849657,0.0,4.0,4.0,0.0,3.1666666666666665,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,43.0,8.0,28494.0,43.0,8.0,73.0,190.0,67.0,122.0,73.0,190.0,68.0,122.0,0,1
653611902.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,10.0,2.0,-7.0,9.5,2.5,-2.0,2.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,490.0,61.0,61.0,19.0,158.0,160.0,False,False,1.0,1.0,True,False,True,False,False,False,False,False,False,1632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1629.0,3.0,3.0,6.0,30.0,6.0,12.0,6.0,30.0,6.0,12.0,0,1
644063460.0,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,152.0,0.0,52.436061722419865,52.436061722419865,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11842.0,12166.0,963.0,963.0,85.0,4723.0,4879.0,False,False,1.0,1.0,True,False,True,False,False,False,False,False,False,39568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,41.0,25.0,38510.0,41.0,25.0,53.0,137.0,45.0,324.0,53.0,137.0,45.0,324.0,0,10
638063759.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,10.0,10.0,2.0,66.0,66.0,False,True,1.0,1.0,False,False,False,False,False,False,False,False,False,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,555.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,4.0,0,1
609149642.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,3.6952573255204837,3.6952573255204837,0.0,2.0,2.0,0.0,0.17763157894736842,0.17763157894736842,0.0,0.0,0.0,0.0,0.0,0.0,13152.0,13241.0,1715.0,1700.0,281.0,4027.0,4049.0,False,True,1.0,1.0,True,False,True,False,False,False,False,False,False,37326.0,0.0,15.0,15.0,0.0,0.04801099938307932,0.04801099938307932,-1.0,5.0,4.0,-0.06666666666666668,0.3826388888888889,0.3159722222222222,0.0,2.0,2.0,0.0,0.1355263157894737,0.1355263157894737,29.0,24.0,37127.0,29.0,24.0,30.0,970.0,241.0,340.0,30.0,981.0,243.0,344.0,0,1
654360210.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,-11.0,-5.214285714285714,0.0,-5.214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,886.0,110.0,112.0,0.0,351.0,340.0,False,False,1.0,1.0,True,False,True,False,False,False,False,False,False,2774.0,-2.0,0.0,-2.0,-0.04444444444444445,0.0,-0.04444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2847.0,5.0,4.0,3.0,16.0,2.0,45.0,3.0,16.0,2.0,44.0,0,1
622485580.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,4.070909918317932,4.070909918317932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45744.0,45785.0,3163.0,3161.0,371.0,12608.0,12622.0,False,True,1.0,1.0,True,False,True,False,False,False,False,False,False,109074.0,0.0,2.0,2.0,0.0,0.0015987210231814546,0.0015987210231814546,0.0,1.0,1.0,0.0,0.07692307692307693,0.07692307692307693,0.0,1.0,1.0,0.0,0.0036630036630036634,0.0036630036630036634,1.0,319.0,108991.0,1.0,319.0,1.0,3312.0,7.0,1250.0,1.0,3314.0,7.0,1251.0,0,1
606300099.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66371.0,66371.0,9169.0,9169.0,2049.0,12483.0,12483.0,False,True,1.0,1.0,True,False,True,False,False,False,False,False,False,143026.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,19.0,82.0,143027.0,19.0,82.0,20.0,7021.0,1981.0,1480.0,20.0,7021.0,1981.0,1480.0,0,1
611445241.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,73.0,72.0,-1.0,15.05057520006641,14.05057520006641,0.0,10.0,10.0,0.0,0.8690476190476191,0.8690476190476191,0.0,0.0,0.0,0.0,0.0,0.0,3028.0,3351.0,552.0,494.0,41.0,810.0,892.0,False,False,1.0,81.0,True,False,True,False,False,False,False,False,False,8489.0,0.0,58.0,58.0,0.0,1.0041891159015797,1.0041891159015797,-1.0,17.0,16.0,-1.0,10.345238095238095,9.345238095238095,0.0,2.0,2.0,0.0,2.0,2.0,5.0,7.0,7594.0,4.0,7.0,4.0,204.0,58.0,135.0,5.0,235.0,63.0,150.0,0,1
