threshold,accuracy,balanced_accuracy,FPR,FNR,f1
0.0,0.04073997090002079,0.5,1.0,0.0,0.07829039344917117
0.1,0.8058615672417376,0.8988082340195016,0.20238353196099676,0.0,0.2956259426847662
0.2,0.8750779463728955,0.9324435624737436,0.13001083423618634,0.00510204081632653,0.39354187689202824
0.3,0.9170650592392434,0.9470006854312689,0.08559046587215602,0.02040816326530612,0.49042145593869724
0.4,0.9532321762627313,0.9609669003029164,0.04745395449620802,0.030612244897959183,0.628099173553719
0.5,0.9688214508418208,0.9519938311185796,0.029685807150595885,0.0663265306122449,0.7093023255813954
0.6,0.9794221575556017,0.9257644769717204,0.01581798483206934,0.1326530612244898,0.7744874715261958
0.7,0.9839950114321346,0.8915078382382206,0.007800650054171181,0.20918367346938777,0.8010335917312662
0.8,0.9812928705050925,0.7997202998209034,0.002600216684723727,0.3979591836734694,0.7239263803680982
0.9,0.9698607358137601,0.6301020408163265,0.0,0.7397959183673469,0.4129554655870446
