threshold,accuracy,balanced_accuracy,FPR,FNR,f1
0.0,0.04073997090002079,0.5,1.0,0.0,0.07829039344917117
0.01,0.39201829141550615,0.6830985915492958,0.6338028169014085,0.0,0.11817907747965029
0.02,0.5813760133028476,0.7817984832069339,0.4364030335861322,0.0,0.16292601828761433
0.03,0.6578673872375805,0.8216684723726977,0.35666305525460457,0.0,0.19234543670264967
0.04,0.7019330700478071,0.8446370530877574,0.3107258938244854,0.0,0.21467688937568455
0.05,0.7360216171274163,0.8624052004333694,0.27518959913326113,0.0,0.2358604091456077
0.06,0.7599251714820203,0.8748645720476707,0.2502708559046587,0.0,0.25339366515837103
0.07,0.776969445021825,0.8837486457204767,0.2325027085590466,0.0,0.2675767918088737
0.08,0.7911037206401995,0.8911159263271939,0.21776814734561215,0.0,0.2806012884753042
0.09,0.7996258574101018,0.895557963163597,0.20888407367280606,0.0,0.2890855457227139
0.1,0.8058615672417376,0.8988082340195016,0.20238353196099676,0.0,0.2956259426847662
0.11,0.8127208480565371,0.9023835319609967,0.1952329360780065,0.0,0.3031709203402939
0.12,0.8226979837871544,0.9075839653304443,0.1848320693391116,0.0,0.314859437751004
0.13,0.8299729785907296,0.9113759479956662,0.1772481040086674,0.0,0.32396694214876026
0.14,0.8370401163999168,0.9150595882990249,0.16988082340195015,0.0,0.33333333333333337
0.15,0.8453543961754313,0.9193932827735645,0.16121343445287106,0.0,0.34507042253521125
0.16,0.8505508210351278,0.9221018418201516,0.15579631635969665,0.0,0.35283528352835286
0.17,0.856370816877988,0.9251354279523294,0.14972914409534127,0.0,0.3619575253924285
0.18,0.8628143837040116,0.9284940411700975,0.14301191765980498,0.0,0.37262357414448666
0.19,0.8680108085637082,0.9312026002166847,0.13759479956663057,0.0,0.38169425511197663
0.2,0.8750779463728955,0.9324435624737436,0.13001083423618634,0.00510204081632653,0.39354187689202824
0.21,0.8790272292662649,0.9345020673491499,0.12589382448537378,0.00510204081632653,0.40123456790123463
0.22,0.8823529411764706,0.9362355451389657,0.12242686890574214,0.00510204081632653,0.4079497907949791
0.23,0.8863022240698399,0.9382940500143719,0.11830985915492957,0.00510204081632653,0.416221985058698
0.24,0.8904593639575972,0.9404608972516417,0.11397616468039003,0.00510204081632653,0.4252998909487459
0.25,0.8942007898565787,0.9424110597651845,0.11007583965330445,0.00510204081632653,0.4338153503893214
0.26,0.8981500727499481,0.942026886594291,0.1057421451787649,0.01020408163265306,0.4419134396355353
0.27,0.9025150696320932,0.9418593981471246,0.1009750812567714,0.015306122448979591,0.4514619883040936
0.28,0.9079193514861775,0.9422336215092755,0.09512459371614301,0.02040816326530612,0.46432889963724305
0.29,0.9124922053627105,0.9446171534702722,0.09035752979414952,0.02040816326530612,0.47701863354037266
0.3,0.9170650592392434,0.9470006854312689,0.08559046587215602,0.02040816326530612,0.49042145593869724
0.31,0.9205986281438371,0.9488425055829482,0.0819068255687974,0.02040816326530612,0.5013054830287206
0.32,0.9245479110372063,0.9509010104583545,0.07778981581798483,0.02040816326530612,0.5140562248995983
0.33,0.9295364789025151,0.9535012271430783,0.07258938244853738,0.02040816326530612,0.5311203319502075
0.34,0.9347329037622116,0.9562097861896655,0.06717226435536294,0.02040816326530612,0.5501432664756447
0.35,0.9372271876948659,0.9550672164857276,0.06435536294691224,0.025510204081632654,0.5584795321637427
0.36,0.9405528996050717,0.9568006942755434,0.06088840736728061,0.025510204081632654,0.5718562874251497
0.37,0.9430471835377261,0.9581008026179052,0.05828819068255688,0.025510204081632654,0.5823170731707317
0.38,0.9467886094367075,0.960050965131448,0.05438786565547129,0.025510204081632654,0.5987460815047022
0.39,0.9507378923300769,0.9621094700068543,0.05027085590465872,0.025510204081632654,0.617124394184168
0.4,0.9532321762627313,0.9609669003029164,0.04745395449620802,0.030612244897959183,0.628099173553719
0.41,0.9546871752234463,0.9617252968359609,0.045937161430119174,0.030612244897959183,0.6354515050167224
0.42,0.956557888172937,0.9627003780927321,0.043986998916576384,0.030612244897959183,0.6451612903225806
0.43,0.9584286011224278,0.9612327813032038,0.04182015167930661,0.03571428571428571,0.6539792387543253
0.44,0.9611307420494699,0.9626412320074291,0.0390032502708559,0.03571428571428571,0.6690265486725663
0.45,0.9634171689877364,0.9638329979879277,0.036619718309859155,0.03571428571428571,0.6823104693140796
0.46,0.9644564539596757,0.964374709797245,0.03553629469122427,0.03571428571428571,0.6885245901639345
0.47,0.9659114529203908,0.9602477502376898,0.03358613217768147,0.04591836734693878,0.6951672862453531
0.48,0.967158594886718,0.9584551263625711,0.03206933911159263,0.05102040816326531,0.7018867924528301
0.49,0.9684057368530451,0.959105180533752,0.03076923076923077,0.05102040816326531,0.7099236641221374
0.5,0.9688214508418208,0.9519938311185796,0.029685807150595885,0.0663265306122449,0.7093023255813954
0.51,0.9698607358137601,0.952535542927897,0.028602383531960998,0.0663265306122449,0.7162426614481409
0.52,0.9723550197464145,0.9538356512702589,0.02600216684723727,0.0663265306122449,0.7334669338677354
0.53,0.9738100187071295,0.9521513697570037,0.024268689057421453,0.07142857142857142,0.742857142857143
0.54,0.9752650176678446,0.9455817321511486,0.02210184182015168,0.08673469387755102,0.7505241090146751
0.55,0.9765121596341717,0.9462317863223295,0.020801733477789817,0.08673469387755102,0.7600849256900213
0.56,0.9769278736229474,0.9440057929997567,0.020151679306608883,0.09183673469387756,0.7623126338329764
0.57,0.9779671585948867,0.9421048267627744,0.01885157096424702,0.09693877551020408,0.7695652173913043
0.58,0.9783828725836624,0.9325507993013024,0.01755146262188516,0.11734693877551021,0.768888888888889
0.59,0.9792143005612138,0.9305414907024565,0.016468039003250272,0.12244897959183673,0.7747747747747746
0.6,0.9794221575556017,0.9257644769717204,0.01581798483206934,0.1326530612244898,0.7744874715261958
0.61,0.9802535855331532,0.9213124903265748,0.014517876489707475,0.14285714285714285,0.7795823665893271
0.62,0.9804614425275411,0.9189781546421385,0.014084507042253521,0.14795918367346939,0.780373831775701
0.63,0.9817085844938682,0.91474285272072,0.012351029252437704,0.15816326530612246,0.7894736842105262
0.64,0.9819164414882561,0.9124085170362837,0.011917659804983749,0.16326530612244897,0.7903614457831325
